study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	cv	sd	se	unit	comments
Zimmerman2003	all	21.0	CSA300	tmax	cyclosporine	blood	LC MS/MS	NA	NA	1.5	NA	NA	NA	0.59	NA	hr	NA
Zimmerman2003	all	21.0	CSA300	cmax	cyclosporine	blood	LC MS/MS	NA	NA	1560.0	NA	NA	NA	292.0	NA	ng/ml	NA
Zimmerman2003	all	21.0	CSA300	thalf	cyclosporine	blood	LC MS/MS	NA	NA	12.66	NA	NA	NA	2.5	NA	hr	NA
Zimmerman2003	all	21.0	CSA300	mrt	cyclosporine	blood	LC MS/MS	NA	NA	9.69	NA	NA	NA	1.69	NA	hr	NA
Zimmerman2003	all	21.0	CSA300	auc_end	cyclosporine	blood	LC MS/MS	144.0	hr	7640.0	NA	NA	NA	1470.0	NA	ng*hr/ml	NA
Zimmerman2003	all	21.0	CSA300	oral-clearance	cyclosporine	blood	LC MS/MS	NA	NA	558.0	NA	NA	NA	102.0	NA	ml/hr/kg	NA
Zimmerman2003	all	21.0	CSA300, RAP10	tmax	cyclosporine	blood	LC MS/MS	NA	NA	1.64	NA	NA	NA	0.66	NA	hr	NA
Zimmerman2003	all	21.0	CSA300, RAP10	cmax	cyclosporine	blood	LC MS/MS	NA	NA	1640.0	NA	NA	NA	410.0	NA	ng/ml	NA
Zimmerman2003	all	21.0	CSA300, RAP10	thalf	cyclosporine	blood	LC MS/MS	NA	NA	12.8	NA	NA	NA	3.8	NA	hr	NA
Zimmerman2003	all	21.0	CSA300, RAP10	mrt	cyclosporine	blood	LC MS/MS	NA	NA	9.98	NA	NA	NA	2.84	NA	hr	NA
Zimmerman2003	all	21.0	CSA300, RAP10	auc_end	cyclosporine	blood	LC MS/MS	144.0	hr	7930.0	NA	NA	NA	1610.0	NA	ng*hr/ml	NA
Zimmerman2003	all	21.0	CSA300, RAP10	oral-clearance	cyclosporine	blood	LC MS/MS	NA	NA	536.0	NA	NA	NA	112.0	NA	ml/hr/kg	NA
Zimmerman2003	all	21.0	RAP10, CSA300B	tmax	cyclosporine	blood	LC MS/MS	NA	NA	1.64	NA	NA	NA	0.66	NA	hr	NA
Zimmerman2003	all	21.0	RAP10, CSA300B	cmax	cyclosporine	blood	LC MS/MS	NA	NA	1450.0	NA	NA	NA	329.0	NA	ng/ml	NA
Zimmerman2003	all	21.0	RAP10, CSA300B	thalf	cyclosporine	blood	LC MS/MS	NA	NA	12.5	NA	NA	NA	1.8	NA	hr	NA
Zimmerman2003	all	21.0	RAP10, CSA300B	mrt	cyclosporine	blood	LC MS/MS	NA	NA	9.74	NA	NA	NA	1.21	NA	hr	NA
Zimmerman2003	all	21.0	RAP10, CSA300B	auc_end	cyclosporine	blood	LC MS/MS	144.0	hr	7040.0	NA	NA	NA	1520.0	NA	ng*hr/ml	NA
Zimmerman2003	all	21.0	RAP10, CSA300B	oral-clearance	cyclosporine	blood	LC MS/MS	NA	NA	608.0	NA	NA	NA	122.0	NA	ml/hr/kg	NA
