study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP40_B2	0.0	hr	NA	NA	NA	NA	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP40_B2	0.5	hr	NA	74.1942707212286	NA	18.5564167417347	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP40_B2	1.0	hr	NA	151.549865600027	NA	15.324099402305	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP40_B2	2.0	hr	NA	111.249046219393	NA	17.4448595554116	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP40_B2	4.0	hr	NA	61.2402615762105	NA	9.6030285080095	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP40_B2	12.0	hr	NA	23.4622884814226	NA	2.8172919228971	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP40_B2	24.0	hr	NA	17.4076738333023	NA	2.5723750891734	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP40_B2	48.0	hr	NA	11.006941712522	NA	1.32168556392266	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP40_B2	72.0	hr	NA	8.70592286202534	NA	1.12661357407179	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP40_B2	96.0	hr	NA	6.39080484186031	NA	0.886015034005339	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	blood	LC MS/MS	rapamycin_RAP40_B2	144.0	hr	NA	3.40727673124321	NA	0.50350172396971	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_P2	0.0	hr	NA	NA	NA	NA	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_P2	0.5	hr	NA	0.605909005547453	NA	0.176652567596862	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_P2	1.0	hr	NA	2.0866251828387	NA	0.44137893936132	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_P2	2.0	hr	NA	1.45223546029667	NA	0.38383307806211	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_P2	4.0	hr	NA	0.39556897523163	NA	0.058798679410792	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_P2	12.0	hr	NA	0.131938143966414	NA	0.00722316929460598	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_P2	24.0	hr	NA	0.12778547200855	NA	0.014374646807912	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_P2	48.0	hr	NA	NA	NA	NA	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_P2	72.0	hr	NA	NA	NA	NA	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_P2	96.0	hr	NA	NA	NA	NA	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	concentration	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_P2	144.0	hr	NA	NA	NA	NA	NA	ng/ml
Leung2006	NA	all	6.0	RAP40	bp_ratio	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_BP2	0.0	hr	NA	NA	NA	NA	NA	dimensionless
Leung2006	NA	all	6.0	RAP40	bp_ratio	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_BP2	0.5	hr	NA	158.876263377512	NA	NA	NA	dimensionless
Leung2006	NA	all	6.0	RAP40	bp_ratio	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_BP2	1.0	hr	NA	85.1807290999349	NA	NA	NA	dimensionless
Leung2006	NA	all	6.0	RAP40	bp_ratio	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_BP2	2.0	hr	NA	93.2432752428711	NA	NA	NA	dimensionless
Leung2006	NA	all	6.0	RAP40	bp_ratio	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_BP2	4.0	hr	NA	159.554745843957	NA	NA	NA	dimensionless
Leung2006	NA	all	6.0	RAP40	bp_ratio	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_BP2	12.0	hr	NA	204.388524439085	NA	NA	NA	dimensionless
Leung2006	NA	all	6.0	RAP40	bp_ratio	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_BP2	24.0	hr	NA	154.133988462044	NA	NA	NA	dimensionless
Leung2006	NA	all	6.0	RAP40	bp_ratio	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_BP2	48.0	hr	NA	NA	NA	NA	NA	dimensionless
Leung2006	NA	all	6.0	RAP40	bp_ratio	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_BP2	72.0	hr	NA	NA	NA	NA	NA	dimensionless
Leung2006	NA	all	6.0	RAP40	bp_ratio	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_BP2	96.0	hr	NA	NA	NA	NA	NA	dimensionless
Leung2006	NA	all	6.0	RAP40	bp_ratio	rapamycin	plasma	LC MS/MS	rapamycin_RAP40_BP2	144.0	hr	NA	NA	NA	NA	NA	dimensionless
