,pmid,title,author,pubdate,keywords,prob,pmcid,table_info
0,11180036,Pharmacokinetic interaction between single oral doses of diltiazem and sirolimus in healthy volunteers.,Y Böttiger; J Säwe; C Brattström; J Tollemar; JT Burke; G Häss; JJ Zimmerman,2001,,0.9993782043457031,,
1,9013365,Pharmacokinetics of prednisolone during administration of sirolimus in patients with renal transplants.,WJ Jusko; GM Ferron; SM Mis; BD Kahan; JJ Zimmerman,1996,,0.9992530941963196,,
2,23426978,A phase I study evaluating the effect of everolimus on the pharmacokinetics of midazolam in healthy subjects.,S Urva; E Bouillaud; R Delaney; A Jappe; W Cheung,2013,,0.9990647435188293,,
3,9156373,Pharmacokinetics of sirolimus in stable renal transplant patients after multiple oral dose administration.,JJ Zimmerman; BD Kahan,1997,,0.9989423155784607,,
4,23735180,Comparative bioavailability and pharmacokinetics of sirolimus tablets in healthy Chinese volunteers.,MZ Huang; JC Chen; XJ Hu; J Liu; GL Wu; HL Zhou; MX Zhu; LH Wu; JZ Shen Tu,2013,,0.9989256262779236,,
5,19196220,Effects of oral posaconazole on the pharmacokinetics of sirolimus.,A Moton; L Ma; G Krishna; M Martinho; M Seiberling; J McLeod,2009,,0.9988633394241333,,
6,11034258,Pharmacokinetics and safety of single oral doses of sirolimus (rapamycin) in healthy male volunteers.,C Brattström; J Säwe; B Jansson; A Lönnebo; J Nordin; JJ Zimmerman; JT Burke; CG Groth,2000,,0.9988419413566589,,
7,30256541,"Distribution, Metabolism, and Excretion of Gedatolisib in Healthy Male Volunteers After a Single Intravenous Infusion.",BE Houk; CW Alvey; R Visswanathan; L Kirkovsky; KT Matschke; E Kimoto; T Ryder; RS Obach; C Durairaj,2019,PF-05212384; PI3K; gedatolisib; metabolism; pharmacokinetics,0.9986546039581299,,
8,19606088,Increased mycophenolic acid exposure in stable kidney transplant recipients on tacrolimus as compared with those on sirolimus: implications for pharmacokinetics.,F Braun; H Schöcklmann; E Ziegler; U Kunzendorf; VW Armstrong; L Renders,2009,,0.9986442923545837,,
9,16750634,Co-administration of sirolimus alters tacrolimus pharmacokinetics in a dose-dependent manner in adult renal transplant recipients.,N Baldan; P Rigotti; L Furian; G Margani; B Ekser; L Frison; S De Martin; P Palatini,2006,,0.9985847473144531,,
10,22921184,Phase I pharmacokinetic and pharmacodynamic study of the pan-PI3K/mTORC vascular targeted pro-drug SF1126 in patients with advanced solid tumours and B-cell malignancies.,D Mahadevan; EG Chiorean; WB Harris; DD Von Hoff; A Stejskal-Barnett; W Qi; SP Anthony; AE Younger; DM Rensvold; F Cordova; CF Shelton; MD Becker; JR Garlich; DL Durden; RK Ramanathan,2012,,0.9985275268554688,PMC3826796,
