study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	up	down	mean_unit	value_unit
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	0.0	hr		1.5383833133449628e-05		4.828586104000635e-06	1.9712620223158245e-06				mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	0.33	hr									mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	0.66	hr									mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	1.0	hr		2.113877993403866e-05		7.828198925486884e-06	3.1958488287410696e-06				mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	2.0	hr		1.48787294541205e-05		1.3473760056189865e-05	5.500639509059796e-06				mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	3.0	hr		1.1234549661466732e-05							mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	4.0	hr									mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	6.0	hr		7.445988373452838e-06		2.9115167763093384e-06	1.1886217465851448e-06				mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	8.0	hr		5.068757156140831e-06		2.2574565543011157e-06	9.216027790898732e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	12.0	hr		2.958548790975975e-06		1.6078777234720841e-06	6.564133318824064e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	16.0	hr		2.4127216773622006e-06		9.929417344985677e-07	4.053667656392631e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	24.0	hr		2.089962546127878e-06		9.308260871749175e-07	3.8000815880832684e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	48.0	hr		1.3812798972857182e-06		6.24436834059525e-07	2.54925270007468e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	72.0	hr		1.1270258066934894e-06		5.542077189556015e-07	2.2625435382550142e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	96.0	hr		9.288460293629579e-07		3.8861701552975274e-07	1.5865223223519e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	120.0	hr		7.578720631451415e-07		2.963514307450545e-07	1.2098496497818835e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	144.0	hr		6.330140315230209e-07		2.431625798067337e-07	9.92707075108817e-08				mole/meter^3	ng/ml
Brattstrom2000		RAP_D3	6.0	RAP_D3	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP_D3	312.0	hr									mole/meter^3	ng/ml
