study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	meanraw	sdraw	comments
Renders2007	NA	TAC3_3	9.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC3_3	0.0	hr	NA	6.87	NA	2.2663963963964	NA	ng/ml	6.87	2.2663963963964	dose-adjustment ?
Renders2007	NA	TAC3_3	9.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC3_3	0.5	hr	NA	7.63339251660419	NA	2.71171171171171	NA	ng/ml	7.63339251660419	2.71171171171171	dose-adjustment ?
Renders2007	NA	TAC3_3	9.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC3_3	1.0	hr	NA	10.2213947524166	NA	4.85574077727358	NA	ng/ml	10.2213947524166	4.85574077727358	dose-adjustment ?
Renders2007	NA	TAC3_3	9.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC3_3	2.0	hr	NA	12.1185802590912	NA	5.92792792792792	NA	ng/ml	12.1185802590912	5.92792792792792	dose-adjustment ?
Renders2007	NA	TAC3_3	9.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC3_3	3.0	hr	NA	11.8084434799763	NA	5.04492996646279	NA	ng/ml	11.8084434799763	5.04492996646279	dose-adjustment ?
Renders2007	NA	TAC3_3	9.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC3_3	4.0	hr	NA	9.98502334451239	NA	3.65765765765765	NA	ng/ml	9.98502334451239	3.65765765765765	dose-adjustment ?
Renders2007	NA	TAC3_3	9.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC3_3	6.0	hr	NA	8.67117117117117	NA	3.34234234234235	NA	ng/ml	8.67117117117117	3.34234234234235	dose-adjustment ?
Renders2007	NA	TAC3_3	9.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC3_3	8.0	hr	NA	7.67263431314526	NA	2.71171171171171	NA	ng/ml	7.67263431314526	2.71171171171171	dose-adjustment ?
Renders2007	NA	TAC3_3	9.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC3_3	9.0	hr	NA	7.23648648648648	NA	2.71171171171171	NA	ng/ml	7.23648648648648	2.71171171171171	dose-adjustment ?
Renders2007	NA	TAC3_3	9.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC3_3	10.0	hr	NA	6.86340172289077	NA	2.45945945945946	NA	ng/ml	6.86340172289077	2.45945945945946	dose-adjustment ?
Renders2007	NA	TAC3_3	9.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC3_3	11.0	hr	NA	6.86858025909121	NA	2.45945945945946	NA	ng/ml	6.86858025909121	2.45945945945946	dose-adjustment ?
Renders2007	NA	TAC3_3	9.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC3_3	12.0	hr	NA	6.87387387387388	NA	2.39639639639641	NA	ng/ml	6.87387387387388	2.39639639639641	dose-adjustment ?
Renders2007	NA	TAC1_1_1_3	7.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC1_1_1_3	0.0	hr	NA	6.87375879529163	NA	2.74964161241535	NA	ng/ml	6.87375879529163	2.74964161241535	dose-adjustment ?
Renders2007	NA	TAC1_1_1_3	7.0	TAC	concentration	fujimycin	plasma	LC MS/MS	fujimycin_TAC1_1_1_3	0.5	hr	NA	12.8044486091931	NA	9.1568488196225	NA	ng/ml	12.8044486091931	9.1568488196225	dose-adjustment ?
