study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	cv	sd	se	unit	comments
Renders2007	TAC3_3	9.0	TAC	auc_end	fujimycin	plasma	LC MS/MS	12.0	hr	106.8	NA	NA	NA	17.5	NA	hr*ng/ml	NA
Renders2007	TAC3_3	9.0	TAC	thalf	fujimycin	plasma	LC MS/MS	NA	NA	12.3	NA	NA	NA	2.9	NA	hr	NA
Renders2007	TAC3_3	9.0	TAC	tmax	fujimycin	plasma	LC MS/MS	NA	NA	1.89	NA	NA	NA	0.79	NA	hr	NA
Renders2007	TAC3_3	9.0	TAC	cmax	fujimycin	plasma	LC MS/MS	NA	NA	15.3	NA	NA	NA	4.1	NA	ng/ml	NA
Renders2007	TAC3_3	9.0	TAC	clearance	fujimycin	plasma	LC MS/MS	NA	NA	19.5	NA	NA	NA	5.5	NA	ml/h	NA
Renders2007	TAC1_1_1_3	7.0	TAC	auc_end	fujimycin	plasma	LC MS/MS	12.0	hr	133.3	NA	NA	NA	42.2	NA	hr*ng/ml	NA
Renders2007	TAC1_1_1_3	7.0	TAC	thalf	fujimycin	plasma	LC MS/MS	NA	NA	9.1	NA	NA	NA	1.8	NA	hr	NA
Renders2007	TAC1_1_1_3	7.0	TAC	tmax	fujimycin	plasma	LC MS/MS	NA	NA	1.4	NA	NA	NA	0.49	NA	hr	NA
Renders2007	TAC1_1_1_3	7.0	TAC	cmax	fujimycin	plasma	LC MS/MS	NA	NA	22.4	NA	NA	NA	8.3	NA	ng/ml	NA
Renders2007	TAC1_1_1_3	7.0	TAC	clearance	fujimycin	plasma	LC MS/MS	NA	NA	60.5	NA	NA	NA	28.1	NA	ml/h	NA
