study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	meanraw	sdraw	comments
Renders2007	NA	RAP3_3	7.0	RAP3_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_3_3	0.0	hr	NA	9.53495145631067	NA	5.33009708737864	NA	ng/ml	5.21035598705501	2.9126213592233	dose-adjustment with 1.83 from table (dose 2.31)
Renders2007	NA	RAP3_3	7.0	RAP3_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_3_3	0.5	hr	NA	14.6676375404531	NA	6.81067961165043	NA	ng/ml	8.01510248112189	3.72168284789641	dose-adjustment with 1.83 from table (dose 2.31)
Renders2007	NA	RAP3_3	7.0	RAP3_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_3_3	1.0	hr	NA	21.3796116504854	NA	9.87055016181225	NA	ng/ml	11.6828478964401	5.3937432578209	dose-adjustment with 1.83 from table (dose 2.31)
Renders2007	NA	RAP3_3	7.0	RAP3_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_3_3	2.0	hr	NA	21.4783171521035	NA	11.3511326860842	NA	ng/ml	11.7367853290183	6.2028047464941	dose-adjustment with 1.83 from table (dose 2.31)
Renders2007	NA	RAP3_3	7.0	RAP3_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_3_3	3.0	hr	NA	18.3197411003235	NA	9.08090614886722	NA	ng/ml	10.0107874865156	4.9622437971952	dose-adjustment with 1.83 from table (dose 2.31)
Renders2007	NA	RAP3_3	7.0	RAP3_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_3_3	4.0	hr	NA	17.1352750809061	NA	8.68608414239474	NA	ng/ml	9.36353829557713	4.74649406688237	dose-adjustment with 1.83 from table (dose 2.31)
Renders2007	NA	RAP3_3	7.0	RAP3_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_3_3	6.0	hr	NA	14.8650485436893	NA	7.99514563106785	NA	ng/ml	8.12297734627831	4.36893203883489	dose-adjustment with 1.83 from table (dose 2.31)
Renders2007	NA	RAP3_3	7.0	RAP3_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_3_3	8.0	hr	NA	14.0754045307443	NA	8.3899676375404	NA	ng/ml	7.69147788565264	4.58468176914776	dose-adjustment with 1.83 from table (dose 2.31)
Renders2007	NA	RAP3_3	7.0	RAP3_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_3_3	9.0	hr	NA	13.6805825242718	NA	7.10679611650473	NA	ng/ml	7.4757281553398	3.883495145631	dose-adjustment with 1.83 from table (dose 2.31)
Renders2007	NA	RAP3_3	7.0	RAP3_3	concentration	rapamycin	blood	LC MS/MS	rapamycin_CYP3A5_3_3	10.0	hr	NA	12.8909385113268	NA	7.4029126213592	NA	ng/ml	7.04422869471412	4.04530744336568	dose-adjustment with 1.83 from table (dose 2.31)
