study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	cv	sd	se	unit	comments
Zhang2017	CYP3A5_1_1	2.0	RAP5	cmax	rapamycin	blood	LC MS/MS	NA	NA	10.3	NA	NA	NA	2.2	NA	ng/ml	NA
Zhang2017	CYP3A5_1_1	2.0	RAP5	tmax	rapamycin	blood	LC MS/MS	NA	NA	2.0	NA	NA	NA	0.7	NA	hr	NA
Zhang2017	CYP3A5_1_1	2.0	RAP5	auc_end	rapamycin	blood	LC MS/MS	144.0	hr	314.2	NA	NA	NA	129.3	NA	ng*hr/ml	NA
Zhang2017	CYP3A5_1_1	2.0	RAP5	auc_inf	rapamycin	blood	LC MS/MS	NA	NA	362.6	NA	NA	NA	151.2	NA	ng*hr/ml	NA
Zhang2017	CYP3A5_1_1	2.0	RAP5	thalf	rapamycin	blood	LC MS/MS	NA	NA	44.5	NA	NA	NA	3.2	NA	hr	NA
Zhang2017	CYP3A5_1_1	2.0	RAP5	oral-clearance	rapamycin	blood	LC MS/MS	NA	NA	15.1	NA	NA	NA	6.3	NA	l/hr	NA
Zhang2017	CYP3A5_1_3	14.0	RAP5	cmax	rapamycin	blood	LC MS/MS	NA	NA	14.6	NA	NA	NA	5.1	NA	ng/ml	NA
Zhang2017	CYP3A5_1_3	14.0	RAP5	tmax	rapamycin	blood	LC MS/MS	NA	NA	2.2	NA	NA	NA	0.8	NA	hr	NA
Zhang2017	CYP3A5_1_3	14.0	RAP5	auc_end	rapamycin	blood	LC MS/MS	144.0	hr	440.2	NA	NA	NA	146.3	NA	ng*hr/ml	NA
Zhang2017	CYP3A5_1_3	14.0	RAP5	auc_inf	rapamycin	blood	LC MS/MS	NA	NA	538.2	NA	NA	NA	168.7	NA	ng*hr/ml	NA
Zhang2017	CYP3A5_1_3	14.0	RAP5	thalf	rapamycin	blood	LC MS/MS	NA	NA	61.3	NA	NA	NA	19.1	NA	hr	NA
Zhang2017	CYP3A5_1_3	14.0	RAP5	oral-clearance	rapamycin	blood	LC MS/MS	NA	NA	10.2	NA	NA	NA	3.3	NA	l/hr	NA
Zhang2017	CYP3A5_3_3	15.0	RAP5	cmax	rapamycin	blood	LC MS/MS	NA	NA	19.9	NA	NA	NA	7.9	NA	ng/ml	NA
Zhang2017	CYP3A5_3_3	15.0	RAP5	tmax	rapamycin	blood	LC MS/MS	NA	NA	4.1	NA	NA	NA	3.1	NA	hr	NA
Zhang2017	CYP3A5_3_3	15.0	RAP5	auc_end	rapamycin	blood	LC MS/MS	144.0	hr	549.6	NA	NA	NA	137.9	NA	ng*hr/ml	NA
Zhang2017	CYP3A5_3_3	15.0	RAP5	auc_inf	rapamycin	blood	LC MS/MS	NA	NA	644.9	NA	NA	NA	164.9	NA	ng*hr/ml	NA
Zhang2017	CYP3A5_3_3	15.0	RAP5	thalf	rapamycin	blood	LC MS/MS	NA	NA	52.1	NA	NA	NA	12.9	NA	hr	NA
Zhang2017	CYP3A5_3_3	15.0	RAP5	oral-clearance	rapamycin	blood	LC MS/MS	NA	NA	8.5	NA	NA	NA	2.5	NA	l/hr	NA
