study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	up	down	mean_unit	value_unit
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	0.0	hr		7.869049915057365e-05		2.3937868620706773e-05	9.772593941752091e-06				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	0.33	hr		8.670497705386086e-05		4.2066866176131356e-05	1.7173726201577727e-05				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	0.66	hr									mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	1.0	hr									mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	2.0	hr		4.813038213316237e-05		1.157442002592236e-05	4.7252371886935056e-06				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	3.0	hr		3.783031231722535e-05		8.758291224899568e-06	3.5755574199499012e-06				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	4.0	hr		3.074621051654782e-05		1.052345840238968e-05	4.296183902543163e-06				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	6.0	hr		2.0582835398531937e-05		5.719685676655392e-06	2.3350518994852076e-06				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	8.0	hr		1.5081182674447333e-05		3.7491355942399322e-06	1.5305781970656717e-06				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	12.0	hr		9.38024336564332e-06		1.4867114401821594e-06	6.069474038674343e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	16.0	hr		7.857261576919253e-06		2.3536718032078376e-06	9.608824899725976e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	24.0	hr		6.648542354590105e-06		1.96137323073623e-06	8.007272684096502e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	48.0	hr		4.0960545865939e-06		1.3729795412586676e-06	5.605165505607101e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	72.0	hr		3.3198065119798362e-06		1.1330774255837274e-06	4.6257692195775175e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	96.0	hr		2.3934259152825193e-06		7.683333628588635e-07	3.1367078189348196e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	120.0	hr		2.1374145105969126e-06		7.615699941746052e-07	3.1090964819035664e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	144.0	hr		1.6979323877114468e-06		4.841210958382319e-07	1.9764160975345008e-07				mole/meter^3	ng/ml
Brattstrom2000		RAP_D8	6.0	RAP8	concentration	rapamycin	blood	HPLC MS	rapamycin_RAP8	312.0	hr		4.1566458114972684e-07		9.411878509111983e-08	3.842383311398534e-08				mole/meter^3	ng/ml
