study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	0.0	hr	NA	NA	NA	NA	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	0.5	hr	NA	52673.2242503259	NA	16050.8318122556	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	1.0	hr	NA	64928.6427640156	NA	7144.76895914821	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	1.5	hr	NA	69491.8305084745	NA	2427.6641677531	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	2.0	hr	NA	70534.8448500652	NA	1886.2383202955	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	2.5	hr	NA	69231.0769230769	NA	1982.81372229461	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	3.0	hr	NA	67666.555410691	NA	1809.5815949588	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	4.0	hr	NA	64798.2659713168	NA	3770.0622555411	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	6.0	hr	NA	59974.3246414602	NA	455.111581920908	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	8.0	hr	NA	57757.9191655801	NA	653.091156019043	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	10.0	hr	NA	56063.0208604954	NA	542.633039982604	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	12.0	hr	NA	54628.8761408083	NA	466.579910908302	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	16.0	hr	NA	53585.8617992177	NA	555.308561495003	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	24.0	hr	NA	51760.5867014341	NA	3407.9044980443	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	48.0	hr	NA	47718.9061277705	NA	724.315514993497	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	72.0	hr	NA	44329.109517601	NA	880.646946979599	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	96.0	hr	NA	41200.0664928292	NA	580.961402651054	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	120.0	hr	NA	36245.7483702738	NA	3058.42226206	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	144.0	hr	NA	33638.2125162972	NA	5128.75744241635	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	168.0	hr	NA	NA	NA	NA	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	192.0	hr	NA	NA	NA	NA	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	216.0	hr	NA	NA	NA	NA	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	240.0	hr	NA	NA	NA	NA	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	264.0	hr	NA	NA	NA	NA	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	288.0	hr	NA	NA	NA	NA	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	312.0	hr	NA	NA	NA	NA	NA	ng/ml
Zha2022	NA	all	12.0	FUJI075	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075	336.0	hr	NA	NA	NA	NA	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	0.0	hr	NA	NA	NA	NA	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	0.5	hr	NA	59745.5616579748	NA	7695.8523468057	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	1.0	hr	NA	72571.9822359843	NA	3998.8252390265	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	1.5	hr	NA	78909.7429921773	NA	5583.26542807469	NA	ng/ml
Zha2022	NA	all	11.0	FUJI075_3D	concentration	fujimycin	blood	LC MS/MS	fujimycin_FUJI075_3D	2.0	hr	NA	82003.1738374619	NA	4451.52243589741	NA	ng/ml
