study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	cv	sd	se	unit	comments
Bottiger2001	all	18.0	RAP10	cmax	rapamycin	blood	LC MS/MS	NA	NA	67.0	55.0	85.0	NA	NA	NA	ng/ml	NA
Bottiger2001	all	18.0	RAP10	tmax	rapamycin	blood	LC MS/MS	NA	NA	0.76	0.65	0.88	NA	NA	NA	hr	NA
Bottiger2001	all	18.0	RAP10	auc_inf	rapamycin	blood	LC MS/MS	NA	NA	736.0	595.0	908.0	NA	NA	NA	ng*hr/ml	unclear if AUC end or inf
Bottiger2001	all	18.0	RAP10	thalf	rapamycin	blood	LC MS/MS	NA	NA	79.0	65.0	95.0	NA	NA	NA	hr	NA
Bottiger2001	all 	18.0	RAP10	oral-clearance	rapamycin	blood	LC MS/MS	NA	NA	179.0	139.0	229.0	NA	NA	NA	ml/hr/kg	CL/F
Bottiger2001	all	18.0	RAP10	vd	rapamycin	blood	LC MS/MS	NA	NA	15.0	11.0	19.0	NA	NA	NA	l/kg	Vss/F
Bottiger2001	all	18.0	RAP10, DIL120	cmax	rapamycin	blood	LC MS/MS	NA	NA	96.0	82.0	112.0	NA	NA	NA	ng/ml	NA
Bottiger2001	all	18.0	RAP10, DIL120	tmax	rapamycin	blood	LC MS/MS	NA	NA	1.04	0.8	1.36	NA	NA	NA	hr	NA
Bottiger2001	all	18.0	RAP10, DIL120	auc_inf	rapamycin	blood	LC MS/MS	NA	NA	1178.0	981.0	1415.0	NA	NA	NA	ng*hr/ml	unclear if AUC end or inf
Bottiger2001	all	18.0	RAP10, DIL120	thalf	rapamycin	blood	LC MS/MS	NA	NA	67.0	55.0	80.0	NA	NA	NA	hr	NA
Bottiger2001	all	18.0	RAP10, DIL120	oral-clearance	rapamycin	blood	LC MS/MS	NA	NA	112.0	91.0	134.0	NA	NA	NA	ml/hr/kg	CL/F
Bottiger2001	all	18.0	RAP10, DIL120	vd	rapamycin	blood	LC MS/MS	NA	NA	8.0	6.8	9.4	NA	NA	NA	l/kg	Vss/F
