study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	min	max	cv	sd	se	unit	comments
Zimmerman2005	all	18.0	RAP15_H	cmax	rapamycin	blood	LC MS/MS	NA	NA	78.2	NA	NA	NA	18.3	NA	ng/ml	NA
Zimmerman2005	all	18.0	RAP15_H	tmax	rapamycin	blood	LC MS/MS	NA	NA	0.82	NA	NA	NA	0.17	NA	hr	NA
Zimmerman2005	all	18.0	RAP15_H	thalf	rapamycin	blood	LC MS/MS	NA	NA	78.9	NA	NA	NA	12.1	NA	hr	NA
Zimmerman2005	all	18.0	RAP15_H	auc_inf	rapamycin	blood	LC MS/MS	NA	NA	970.0	NA	NA	NA	272.0	NA	ng*hr/ml	NA
Zimmerman2005	all	18.0	RAP15_H	oral-clearance	rapamycin	blood	LC MS/MS	NA	NA	215.0	NA	NA	NA	76.0	NA	ml/hr/kg	cl/f
Zimmerman2005	all	18.0	RAP15_H	vd	rapamycin	blood	LC MS/MS	NA	NA	17.4	NA	NA	NA	5.9	NA	l/kg	NA
Zimmerman2005	all	18.0	RAP15_H	mrt	rapamycin	blood	LC MS/MS	NA	NA	82.4	NA	NA	NA	13.2	NA	hr	NA
Zimmerman2005	all	18.0	RAP15_H	cmax	rapamycin	plasma	LC MS/MS	NA	NA	0.82	NA	NA	NA	0.43	NA	ng/ml	NA
Zimmerman2005	all	18.0	RAP15_H	tmax	rapamycin	plasma	LC MS/MS	NA	NA	1.04	NA	NA	NA	0.6	NA	hr	NA
Zimmerman2005	all	18.0	RAP15_H	bp_ratio	rapamycin	plasma	LC MS/MS	NA	NA	117.0	NA	NA	NA	24.0	NA	dimensionless	NA
Zimmerman2005	all	13.0	RAP15_A	cmax	rapamycin	blood	LC MS/MS	NA	NA	79.0	NA	NA	NA	25.2	NA	ng/ml	NA
Zimmerman2005	all	13.0	RAP15_A	tmax	rapamycin	blood	LC MS/MS	NA	NA	0.87	NA	NA	NA	0.17	NA	hr	NA
Zimmerman2005	all	13.0	RAP15_A	thalf	rapamycin	blood	LC MS/MS	NA	NA	98.6	NA	NA	NA	22.1	NA	hr	NA
Zimmerman2005	all	13.0	RAP15_A	auc_inf	rapamycin	blood	LC MS/MS	NA	NA	1439.0	NA	NA	NA	489.0	NA	ng*hr/ml	NA
Zimmerman2005	all	13.0	RAP15_A	oral-clearance	rapamycin	blood	LC MS/MS	NA	NA	147.0	NA	NA	NA	54.0	NA	ml/hr/kg	cl/f
Zimmerman2005	all	13.0	RAP15_A	vd	rapamycin	blood	LC MS/MS	NA	NA	16.1	NA	NA	NA	5.3	NA	l/kg	NA
Zimmerman2005	all	13.0	RAP15_A	mrt	rapamycin	blood	LC MS/MS	NA	NA	116.0	NA	NA	NA	31.0	NA	hr	NA
Zimmerman2005	all	13.0	RAP15_A	cmax	rapamycin	plasma	LC MS/MS	NA	NA	0.69	NA	NA	NA	0.3	NA	ng/ml	NA
Zimmerman2005	all	13.0	RAP15_A	tmax	rapamycin	plasma	LC MS/MS	NA	NA	0.87	NA	NA	NA	0.37	NA	hr	NA
Zimmerman2005	all	13.0	RAP15_A	bp_ratio	rapamycin	plasma	LC MS/MS	NA	NA	152.0	NA	NA	NA	69.0	NA	dimensionless	NA
Zimmerman2005	all	5.0	RAP15_B	cmax	rapamycin	blood	LC MS/MS	NA	NA	75.0	NA	NA	NA	18.7	NA	ng/ml	NA
Zimmerman2005	all	5.0	RAP15_B	tmax	rapamycin	blood	LC MS/MS	NA	NA	0.74	NA	NA	NA	0.15	NA	hr	NA
Zimmerman2005	all	5.0	RAP15_B	thalf	rapamycin	blood	LC MS/MS	NA	NA	149.0	NA	NA	NA	57.0	NA	hr	NA
Zimmerman2005	all	5.0	RAP15_B	auc_inf	rapamycin	blood	LC MS/MS	NA	NA	1899.0	NA	NA	NA	840.0	NA	ng*hr/ml	NA
Zimmerman2005	all	5.0	RAP15_B	oral-clearance	rapamycin	blood	LC MS/MS	NA	NA	137.0	NA	NA	NA	86.0	NA	ml/hr/kg	cl/f
Zimmerman2005	all	5.0	RAP15_B	vd	rapamycin	blood	LC MS/MS	NA	NA	21.2	NA	NA	NA	7.3	NA	l/kg	NA
Zimmerman2005	all	5.0	RAP15_B	mrt	rapamycin	blood	LC MS/MS	NA	NA	185.0	NA	NA	NA	78.0	NA	hr	NA
Zimmerman2005	all	5.0	RAP15_B	cmax	rapamycin	plasma	LC MS/MS	NA	NA	0.35	NA	NA	NA	0.13	NA	ng/ml	NA
Zimmerman2005	all	5.0	RAP15_B	tmax	rapamycin	plasma	LC MS/MS	NA	NA	1.0	NA	NA	NA	0.58	NA	hr	NA
Zimmerman2005	all	5.0	RAP15_B	bp_ratio	rapamycin	plasma	LC MS/MS	NA	NA	226.0	NA	NA	NA	44.0	NA	dimensionless	NA
